Time,Displacement Z Node 48
0,0
0.01,-1.56E-26
0.02,-1.41E-25
0.03,-2.29E-25
0.04,5.06E-25
0.05,1.83E-24
0.06,3.20E-24
0.07,-9.01E-25
0.08,-2.64E-23
0.09,-9.17E-23
0.1,-2.12E-22
0.11,-3.98E-22
0.12,-6.46E-22
0.13,-9.46E-22
0.14,-1.28E-21
0.15,-1.61E-21
0.16,-1.91E-21
0.17,-2.12E-21
0.18,-2.21E-21
0.19,-2.15E-21
0.2,-1.94E-21
0.21,-1.65E-21
0.22,-1.31E-21
0.23,-9.10E-22
0.24,-3.84E-22
0.25,2.31E-22
0.26,9.41E-22
0.27,1.79E-21
0.28,2.68E-21
0.29,3.67E-21
0.3,4.78E-21
0.31,5.99E-21
0.32,7.43E-21
0.33,9.18E-21
0.34,1.11E-20
0.35,1.33E-20
0.36,1.57E-20
0.37,1.82E-20
0.38,2.08E-20
0.39,2.36E-20
0.4,2.68E-20
0.41,3.03E-20
0.42,3.41E-20
0.43,3.79E-20
0.44,4.17E-20
0.45,4.57E-20
0.46,4.97E-20
0.47,5.38E-20
0.48,5.82E-20
0.49,6.26E-20
0.5,6.69E-20
0.51,7.12E-20
0.52,7.57E-20
0.53,8.05E-20
0.54,8.52E-20
0.55,8.97E-20
0.56,9.40E-20
0.57,9.84E-20
0.58,1.03E-19
0.59,1.07E-19
0.6,1.12E-19
0.61,1.17E-19
0.62,1.22E-19
0.63,1.27E-19
0.64,1.31E-19
0.65,1.36E-19
0.66,1.41E-19
0.67,1.46E-19
0.68,1.50E-19
0.69,1.54E-19
0.7,1.59E-19
0.71,1.63E-19
0.72,1.66E-19
0.73,1.70E-19
0.74,1.74E-19
0.75,1.78E-19
0.76,1.82E-19
0.77,1.86E-19
0.78,1.89E-19
0.79,1.93E-19
0.8,1.96E-19
0.81,2.00E-19
0.82,2.03E-19
0.83,2.06E-19
0.84,2.09E-19
0.85,2.12E-19
0.86,2.15E-19
0.87,2.19E-19
0.88,2.22E-19
0.89,2.26E-19
0.9,2.29E-19
0.91,2.33E-19
0.92,2.36E-19
0.93,2.39E-19
0.94,2.42E-19
0.95,2.46E-19
0.96,2.51E-19
0.97,2.56E-19
0.98,2.60E-19
0.99,2.65E-19
1,2.71E-19
1.01,2.76E-19
1.02,2.82E-19
1.03,2.88E-19
1.04,2.93E-19
1.05,2.99E-19
1.06,3.05E-19
1.07,3.12E-19
1.08,3.18E-19
1.09,3.25E-19
1.1,3.32E-19
1.11,3.39E-19
1.12,3.46E-19
1.13,3.53E-19
1.14,3.59E-19
1.15,3.67E-19
1.16,3.73E-19
1.17,3.79E-19
1.18,3.86E-19
1.19,3.92E-19
1.2,4.00E-19
1.21,4.07E-19
1.22,4.14E-19
1.23,4.21E-19
1.24,4.28E-19
1.25,4.35E-19
1.26,4.42E-19
1.27,4.49E-19
1.28,4.56E-19
1.29,4.62E-19
1.3,4.69E-19
1.31,4.75E-19
1.32,4.80E-19
1.33,4.87E-19
1.34,4.94E-19
1.35,5.00E-19
1.36,5.05E-19
1.37,5.10E-19
1.38,5.14E-19
1.39,5.17E-19
1.4,5.20E-19
1.41,5.24E-19
1.42,5.29E-19
1.43,5.33E-19
1.44,5.36E-19
1.45,5.41E-19
1.46,5.46E-19
1.47,5.49E-19
1.48,5.54E-19
1.49,5.58E-19
1.5,5.62E-19
1.51,5.65E-19
1.52,5.69E-19
1.53,5.73E-19
1.54,5.77E-19
1.55,5.81E-19
1.56,5.86E-19
1.57,5.90E-19
1.58,5.95E-19
1.59,6.01E-19
1.6,6.06E-19
1.61,6.10E-19
1.62,6.15E-19
1.63,6.20E-19
1.64,6.25E-19
1.65,6.29E-19
1.66,6.34E-19
1.67,6.39E-19
1.68,6.45E-19
1.69,6.51E-19
1.7,6.57E-19
1.71,6.64E-19
1.72,6.72E-19
1.73,6.80E-19
1.74,6.87E-19
1.75,6.94E-19
1.76,6.99E-19
1.77,7.06E-19
1.78,7.12E-19
1.79,7.18E-19
1.8,7.26E-19
1.81,7.32E-19
1.82,7.39E-19
1.83,7.46E-19
1.84,7.52E-19
1.85,7.58E-19
1.86,7.64E-19
1.87,7.71E-19
1.88,7.75E-19
1.89,7.80E-19
1.9,7.84E-19
1.91,7.89E-19
1.92,7.94E-19
1.93,7.98E-19
1.94,8.03E-19
1.95,8.09E-19
1.96,8.14E-19
1.97,8.19E-19
1.98,8.23E-19
1.99,8.26E-19
2,8.29E-19
2.01,8.33E-19
2.02,8.35E-19
2.03,8.38E-19
2.04,8.41E-19
2.05,8.42E-19
2.06,8.44E-19
2.07,8.45E-19
2.08,8.47E-19
2.09,8.47E-19
2.1,8.48E-19
2.11,8.51E-19
2.12,8.53E-19
2.13,8.53E-19
2.14,8.54E-19
2.15,8.54E-19
2.16,8.54E-19
2.17,8.55E-19
2.18,8.58E-19
2.19,8.62E-19
2.2,8.65E-19
2.21,8.68E-19
2.22,8.72E-19
2.23,8.75E-19
2.24,8.77E-19
2.25,8.78E-19
2.26,8.81E-19
2.27,8.84E-19
2.28,8.89E-19
2.29,8.93E-19
2.3,8.97E-19
2.31,9.00E-19
2.32,9.03E-19
2.33,9.08E-19
2.34,9.14E-19
2.35,9.19E-19
2.36,9.23E-19
2.37,9.27E-19
2.38,9.30E-19
2.39,9.32E-19
2.4,9.34E-19
2.41,9.39E-19
2.42,9.44E-19
2.43,9.49E-19
2.44,9.53E-19
2.45,9.56E-19
2.46,9.59E-19
2.47,9.64E-19
2.48,9.68E-19
2.49,9.71E-19
2.5,9.74E-19
2.51,9.77E-19
2.52,9.79E-19
2.53,9.80E-19
2.54,9.82E-19
2.55,9.84E-19
2.56,9.85E-19
2.57,9.86E-19
2.58,9.86E-19
2.59,9.86E-19
2.6,9.86E-19
2.61,9.85E-19
2.62,9.83E-19
2.63,9.82E-19
2.64,9.81E-19
2.65,9.80E-19
2.66,9.79E-19
2.67,9.78E-19
2.68,9.76E-19
2.69,9.76E-19
2.7,9.75E-19
