Time,Displacement1,Displacement2,Displacement3,Displacement4,Displacement5,Displacement6,Displacement7,Displacement8,Displacement9,Displacement10
0,0,0,0,0,0,0,0,0,0,0
1e-06,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0
0.300001,0,0,0,0,0,0,0,0,0,0
0.400001,0,0,0,0,0,0,0,0,0,0
0.500001,0,0,0,0,0,0,0,0,0,0
0.600001,0,0,0,0,0,0,0,0,0,0
0.700001,0,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1.1,-4.70154e-12,-6.04691e-06,-6.26684e-06,6.2812e-06,1.55139e-05,1.32931e-05,1.60503e-05,2.04687e-05,1.9584e-05,2.18475e-05
1.2,-4.03355e-12,-5.18204e-06,1.8207e-06,1.49671e-05,2.84609e-05,3.62588e-05,4.00541e-05,4.41613e-05,3.83678e-05,3.5197e-05
1.3,4.38957e-12,5.6478e-06,1.53184e-05,1.9273e-05,2.30853e-05,3.358e-05,3.56066e-05,2.99885e-05,2.30487e-05,2.32669e-05
1.4,-2.16515e-13,-2.79305e-07,1.97294e-06,1.05511e-05,1.16312e-05,1.03684e-05,1.03461e-05,3.44115e-06,9.09823e-06,2.31991e-05
1.5,-6.83068e-12,-8.77591e-06,-8.90645e-06,-7.71706e-06,-1.91308e-06,6.83488e-06,9.57082e-06,9.05147e-06,1.86103e-05,2.74274e-05
1.6,1.72622e-12,2.22915e-06,1.84862e-06,-2.5742e-07,9.20501e-06,2.25291e-05,2.85083e-05,2.81821e-05,2.61953e-05,3.01343e-05
1.7,8.27812e-12,1.06453e-05,1.49605e-05,2.37454e-05,3.32545e-05,3.41804e-05,2.87283e-05,2.63997e-05,2.73517e-05,3.27073e-05
1.8,5.97947e-12,7.68927e-06,1.07846e-05,1.58336e-05,2.2867e-05,2.62897e-05,2.01128e-05,1.99572e-05,2.67256e-05,2.73699e-05
1.9,1.48422e-12,1.90752e-06,-5.4567e-06,-7.41507e-06,-3.01282e-07,7.11577e-06,1.54824e-05,2.0076e-05,2.287e-05,2.56875e-05
2,-1.96738e-12,-2.53168e-06,-2.77015e-06,-1.18885e-06,5.01462e-06,6.66284e-06,9.58353e-06,1.63883e-05,2.28452e-05,2.87762e-05
2.1,4.21188e-12,5.41777e-06,1.50765e-05,1.95667e-05,2.04844e-05,2.08866e-05,1.91447e-05,2.10388e-05,2.41861e-05,2.77607e-05
2.2,6.98064e-12,8.97273e-06,1.52294e-05,2.12266e-05,2.01988e-05,2.45589e-05,3.25647e-05,3.25051e-05,2.91541e-05,3.03257e-05
2.3,-2.25741e-12,-2.90412e-06,3.20479e-06,9.09425e-06,9.82124e-06,1.48152e-05,2.21529e-05,2.80569e-05,3.31462e-05,3.35101e-05
2.4,-1.43792e-12,-1.84139e-06,2.93519e-06,4.27664e-06,3.48583e-06,3.35189e-06,9.11096e-06,1.61034e-05,2.14085e-05,2.6984e-05
2.5,5.32333e-12,6.84746e-06,1.03111e-05,1.01454e-05,8.34946e-06,6.93405e-06,1.25846e-05,1.73769e-05,1.79603e-05,2.32684e-05
2.6,3.52235e-12,4.52974e-06,9.95535e-06,1.55521e-05,1.80875e-05,2.02789e-05,2.21755e-05,2.91911e-05,3.44168e-05,3.20081e-05
2.7,4.47366e-12,5.75715e-06,7.52174e-06,1.3249e-05,1.79236e-05,2.11586e-05,2.63324e-05,3.3522e-05,3.68149e-05,3.50193e-05
2.8,6.336e-12,8.14721e-06,9.99218e-06,8.34748e-06,9.9956e-06,1.20319e-05,1.60253e-05,2.1155e-05,2.39773e-05,2.7461e-05
2.9,2.84276e-12,3.65377e-06,7.26005e-06,6.22654e-06,7.09985e-06,7.12839e-06,7.14835e-06,1.2253e-05,2.12881e-05,2.81222e-05
3,2.99637e-12,3.85359e-06,4.55643e-06,6.47964e-06,8.48846e-06,1.24076e-05,1.81213e-05,2.21129e-05,2.86202e-05,3.39755e-05
3.1,5.65893e-12,7.27597e-06,1.11707e-05,1.1884e-05,1.33658e-05,2.16634e-05,2.73513e-05,2.95357e-05,3.28461e-05,3.41395e-05
3.2,5.43944e-12,6.99348e-06,1.36389e-05,1.64508e-05,1.78863e-05,1.97374e-05,2.02327e-05,2.27194e-05,2.80469e-05,3.30209e-05
3.3,3.78256e-12,4.86243e-06,7.53136e-06,8.5013e-06,1.00849e-05,1.06453e-05,1.39174e-05,1.82686e-05,2.34745e-05,2.99879e-05
3.4,1.98525e-12,2.55074e-06,3.02701e-06,1.73527e-06,3.60717e-06,8.95523e-06,1.5156e-05,2.14079e-05,2.66846e-05,2.81655e-05
3.5,2.98749e-12,3.84093e-06,5.91704e-06,1.04879e-05,1.32832e-05,1.44465e-05,1.80646e-05,2.41372e-05,2.9193e-05,3.07883e-05
3.6,5.64645e-12,7.25914e-06,1.28036e-05,1.74721e-05,1.96244e-05,1.95724e-05,2.12254e-05,2.58764e-05,2.78273e-05,2.94041e-05
3.7,3.80484e-12,4.88882e-06,1.00173e-05,1.16171e-05,1.34687e-05,1.67658e-05,2.10016e-05,2.61004e-05,2.74019e-05,2.81573e-05
3.8,-1.4058e-13,-1.83091e-07,1.87481e-06,5.90685e-06,8.06805e-06,1.00305e-05,1.62861e-05,2.2044e-05,2.66724e-05,3.02572e-05
3.9,1.127e-12,1.44996e-06,5.26231e-06,8.21445e-06,8.64652e-06,1.11378e-05,1.55311e-05,1.91868e-05,2.40075e-05,2.77859e-05
4,4.10142e-12,5.27393e-06,1.0841e-05,1.32922e-05,1.41111e-05,1.72952e-05,2.06856e-05,2.26885e-05,2.42908e-05,2.77299e-05
4.1,2.65005e-12,3.40636e-06,7.9435e-06,1.30069e-05,1.70175e-05,1.98982e-05,2.3193e-05,2.65686e-05,2.88153e-05,3.21496e-05
4.2,1.75199e-12,2.25349e-06,5.09566e-06,7.96269e-06,1.22197e-05,1.70249e-05,2.03352e-05,2.4079e-05,2.80578e-05,3.00913e-05
4.3,3.33771e-12,4.29192e-06,5.10007e-06,6.63932e-06,9.7522e-06,1.28422e-05,1.59681e-05,1.84311e-05,2.22304e-05,2.63304e-05
4.4,2.74664e-12,3.53022e-06,5.47197e-06,8.72754e-06,1.30278e-05,1.47774e-05,1.58055e-05,1.87383e-05,2.3394e-05,2.80634e-05
4.5,2.51223e-12,3.22966e-06,6.3243e-06,9.34744e-06,1.48629e-05,1.97991e-05,2.18873e-05,2.51641e-05,2.80834e-05,3.02969e-05
4.6,3.38391e-12,4.34935e-06,6.82026e-06,1.02506e-05,1.49099e-05,1.98781e-05,2.37501e-05,2.57368e-05,2.71362e-05,2.99562e-05
4.7,2.09266e-12,2.68856e-06,6.39467e-06,1.04677e-05,1.35275e-05,1.62914e-05,1.79617e-05,1.94781e-05,2.37931e-05,2.8188e-05
4.8,1.20876e-12,1.5538e-06,4.79348e-06,7.6682e-06,1.04637e-05,1.38163e-05,1.67951e-05,1.89031e-05,2.26589e-05,2.73173e-05
4.9,1.36259e-12,1.75124e-06,4.38242e-06,7.45782e-06,1.12469e-05,1.56891e-05,2.06546e-05,2.35158e-05,2.49851e-05,2.86398e-05
5,1.67461e-12,2.15296e-06,6.76712e-06,1.17327e-05,1.57348e-05,1.91907e-05,2.15436e-05,2.44589e-05,2.69803e-05,2.92294e-05
5.1,2.91346e-12,3.74661e-06,7.62411e-06,1.25477e-05,1.58914e-05,1.82238e-05,2.06133e-05,2.29097e-05,2.49648e-05,2.75424e-05
5.2,1.99699e-12,2.56686e-06,4.87688e-06,8.2442e-06,1.18974e-05,1.49892e-05,1.88194e-05,2.20229e-05,2.41129e-05,2.68651e-05
5.3,4.23098e-13,5.44119e-07,3.24127e-06,6.72197e-06,1.11351e-05,1.44002e-05,1.7475e-05,2.17204e-05,2.52726e-05,2.81158e-05
5.4,2.26647e-12,2.91522e-06,5.98275e-06,9.96178e-06,1.37614e-05,1.66163e-05,1.9624e-05,2.24337e-05,2.47184e-05,2.81852e-05
5.5,3.31563e-12,4.26272e-06,8.20583e-06,1.20106e-05,1.51769e-05,1.89012e-05,2.15439e-05,2.31989e-05,2.52524e-05,2.81498e-05
5.6,1.77982e-12,2.2884e-06,5.87546e-06,9.93908e-06,1.37844e-05,1.77064e-05,2.05025e-05,2.28991e-05,2.63647e-05,2.96497e-05
5.7,1.57493e-12,2.02592e-06,4.45117e-06,7.34351e-06,1.12192e-05,1.50864e-05,1.88763e-05,2.1596e-05,2.478e-05,2.91253e-05
5.8,2.46002e-12,3.16342e-06,6.20064e-06,8.36087e-06,1.16051e-05,1.53804e-05,1.81078e-05,2.04631e-05,2.37343e-05,2.77837e-05
5.9,2.77781e-12,3.57186e-06,6.72659e-06,1.06398e-05,1.43382e-05,1.73272e-05,1.94429e-05,2.19338e-05,2.55254e-05,2.90842e-05
6,2.81618e-12,3.62115e-06,6.32187e-06,1.0072e-05,1.4278e-05,1.81136e-05,2.1287e-05,2.43024e-05,2.71311e-05,2.97032e-05
6.1,2.58155e-12,3.31912e-06,6.26515e-06,8.8942e-06,1.27485e-05,1.65973e-05,1.97436e-05,2.31238e-05,2.60189e-05,2.86581e-05
6.2,2.29837e-12,2.95486e-06,5.90668e-06,9.19316e-06,1.24672e-05,1.45821e-05,1.72632e-05,2.06362e-05,2.42737e-05,2.82953e-05
6.3,2.32324e-12,2.9869e-06,6.12852e-06,9.30476e-06,1.21363e-05,1.51746e-05,1.84819e-05,2.17235e-05,2.50975e-05,2.83823e-05
6.4,2.39628e-12,3.08099e-06,6.58918e-06,9.92653e-06,1.28674e-05,1.68405e-05,2.08029e-05,2.40779e-05,2.68071e-05,2.9266e-05
6.5,2.42138e-12,3.1135e-06,7.04186e-06,1.10331e-05,1.40398e-05,1.68303e-05,2.02456e-05,2.35478e-05,2.64391e-05,2.96927e-05
6.6,2.53105e-12,3.25467e-06,7.20102e-06,1.0176e-05,1.2716e-05,1.551e-05,1.86473e-05,2.19068e-05,2.50806e-05,2.84569e-05
6.7,2.34495e-12,3.01524e-06,5.92951e-06,8.69572e-06,1.13766e-05,1.45265e-05,1.83694e-05,2.19018e-05,2.52181e-05,2.84518e-05
6.8,2.23302e-12,2.87156e-06,5.69524e-06,9.19527e-06,1.24274e-05,1.54326e-05,1.89481e-05,2.27742e-05,2.64249e-05,2.94262e-05
6.9,3.04334e-12,3.91373e-06,7.4463e-06,1.05224e-05,1.37253e-05,1.6872e-05,1.97298e-05,2.32288e-05,2.6392e-05,2.9117e-05
7,3.31377e-12,4.26057e-06,7.52007e-06,1.04403e-05,1.3606e-05,1.65349e-05,1.9608e-05,2.28855e-05,2.58205e-05,2.90196e-05
7.1,2.39954e-12,3.08481e-06,5.99203e-06,9.0245e-06,1.22694e-05,1.54032e-05,1.86124e-05,2.21717e-05,2.61071e-05,2.94217e-05
7.2,2.40472e-12,3.09215e-06,5.93243e-06,8.58447e-06,1.15535e-05,1.51012e-05,1.85873e-05,2.19728e-05,2.58223e-05,2.91547e-05
7.3,3.00363e-12,3.86186e-06,7.09868e-06,9.93324e-06,1.27566e-05,1.59258e-05,1.92374e-05,2.22616e-05,2.54739e-05,2.91275e-05
