"Time","max height (stats)","max volume (stats)"
0.001,0.1,59.5167
0.002,0.1,59.5167
0.003,0.1,59.5167
0.004,0.1,59.5167
0.005,0.1,59.5167
0.006825,0.1,59.5167
0.010496,0.1,59.5167
0.016956,0.1,59.5167
0.029841,0.1,59.5167
0.049841,0.1,59.5167
0.069841,0.1,59.5167
0.089841,0.1,59.5167
0.109841,0.1,59.5167
0.129841,0.1,59.5167
0.149841,0.1,59.5167
0.169841,0.1,59.5167
0.189841,0.1,59.5167
0.209841,0.1,59.5167
0.229841,0.1,59.5167
0.249841,0.1,59.5167
0.269841,0.1,59.5167
0.289841,0.1,59.5167
0.309841,0.099981,59.5166
0.329841,0.09975,59.5145
0.349841,0.0993,59.5079
0.369841,0.098654,59.4979
0.389841,0.09785,59.4911
0.409841,0.096954,59.4939
0.429841,0.096064,59.5065
0.449841,0.095305,59.5229
0.469841,0.09481,59.5349
0.489841,0.094951,59.5378
0.509841,0.095946,59.5308
0.529841,0.097252,59.5149
0.549841,0.098865,59.4908
0.569841,0.100593,59.4595
0.589841,0.10236,59.4218
0.609332,0.104229,59.381
0.628298,0.106246,59.3406
0.646895,0.108136,59.3038
0.666055,0.110007,59.2719
0.686055,0.111768,59.248
0.706055,0.113282,59.2365
0.726055,0.114248,59.2389
0.746055,0.114513,59.256
0.766055,0.114024,59.288
0.786055,0.113015,59.333
0.806055,0.111489,59.3863
0.825202,0.109568,59.4382
0.841332,0.107566,59.4763
0.855836,0.105516,59.5019
0.869524,0.103414,59.5157
0.882864,0.101257,59.5176
0.896139,0.099055,59.5071
0.908585,0.096982,59.4859
0.920542,0.095017,59.4552
0.932269,0.093147,59.4186
0.943983,0.091361,59.3724
0.955905,0.089648,59.3173
0.968283,0.088004,59.2534
0.981303,0.086443,59.1825
0.994883,0.085022,59.1103
1.00984,0.083727,59.0481
1.02502,0.082728,59.0038
1.04502,0.081939,58.9894
1.06502,0.081796,59.0308
1.08451,0.082338,59.1275
1.10153,0.083525,59.2467
1.11424,0.084875,59.3457
1.12544,0.086348,59.4326
1.13465,0.08781,59.4987
1.14265,0.089268,59.5493
1.14983,0.090706,59.5871
1.15641,0.092135,59.614
1.16255,0.093561,59.6314
1.16835,0.094988,59.6396
1.17387,0.09642,59.6397
1.17918,0.097907,59.6322
1.18431,0.099424,59.6173
1.18933,0.100968,59.5951
1.19426,0.102536,59.5655
1.19914,0.104136,59.5283
1.20402,0.105777,59.4832
1.20893,0.107468,59.4291
1.21394,0.109223,59.3652
1.2191,0.111058,59.2902
1.22448,0.112992,59.2045
1.23016,0.115077,59.1077
1.23627,0.117363,58.992
1.24286,0.119901,58.8561
1.24977,0.122528,58.7107
1.25617,0.124902,58.5676
1.26244,0.127146,58.4213
1.26944,0.12952,58.2546
1.27666,0.131796,58.0816
1.28316,0.133708,57.9349
1.29008,0.135554,57.7898
1.29874,0.137542,57.6326
1.30838,0.139802,57.498
1.31921,0.141829,57.4056
1.3343,0.143551,57.3928
1.3543,0.143547,57.5715
1.36826,0.141908,57.7968
1.37952,0.139597,58.0138
1.38886,0.137034,58.2066
1.39715,0.1343,58.38
1.40487,0.131399,58.5392
1.4123,0.128321,58.6872
1.4196,0.125059,58.8257
1.42601,0.122047,58.9401
1.43174,0.119374,59.0357
1.43709,0.116981,59.1187
1.44207,0.114712,59.1903
1.44674,0.112707,59.2524
1.45114,0.111078,59.3054
1.45554,0.10945,59.354
1.45971,0.107904,59.3961
1.46369,0.106435,59.4316
1.46747,0.105052,59.4622
1.47147,0.103596,59.4909
1.47523,0.102233,59.5146
1.47875,0.100966,59.5344
1.48328,0.09937,59.5565
1.4878,0.097846,59.5747
1.49218,0.096386,59.588
1.49662,0.094995,59.5971
1.50165,0.093466,59.6028
1.50734,0.091797,59.6023
1.51206,0.090462,59.594
1.51714,0.089075,59.576
1.52094,0.08807,59.5555
1.52548,0.086933,59.5219
1.53077,0.08568,59.472
1.53548,0.084672,59.4184
1.54016,0.083717,59.3552
1.54559,0.082661,59.2692
1.55093,0.081673,59.1697
1.55615,0.080754,59.0643
1.56116,0.079916,58.9525
1.56599,0.079234,58.8352
1.57095,0.078551,58.7055
1.57562,0.077931,58.5742
1.58013,0.077352,58.4407
1.58469,0.076791,58.3007
1.58934,0.076248,58.1543
1.59418,0.075716,58.0036
1.59892,0.075233,57.8562
1.60483,0.074691,57.6819
1.61135,0.074173,57.5008
1.61892,0.073688,57.3126
1.6276,0.073327,57.1311
1.63844,0.073097,56.9586
1.65163,0.073257,56.8487
1.66759,0.073866,56.8926
1.67782,0.074339,57.0243
1.68529,0.075036,57.1679
1.69131,0.075804,57.3088
1.69659,0.076532,57.4487
1.70145,0.077242,57.5876
1.70601,0.077944,57.725
1.71039,0.078649,57.8607
1.71464,0.079364,57.9947
1.71882,0.080096,58.127
1.72298,0.081075,58.2579
1.72715,0.08211,58.3876
1.73138,0.083182,58.5166
1.73569,0.084299,58.6452
1.74016,0.08548,58.7744
1.74478,0.086776,58.9028
1.74919,0.088077,59.0197
1.75327,0.089309,59.1223
1.75706,0.090471,59.2163
1.76058,0.091562,59.2959
1.76396,0.09262,59.3664
1.76724,0.093661,59.4282
1.77042,0.094677,59.4809
1.77347,0.095355,59.5258
1.77638,0.096623,59.5623
1.77913,0.097843,59.5906
1.78187,0.099075,59.6125
1.78455,0.100293,59.6281
1.78702,0.101429,59.6372
1.78986,0.102747,59.6422
1.79261,0.104042,59.6411
1.79534,0.105332,59.6344
1.79806,0.106616,59.6226
1.80075,0.107893,59.6051
1.8031,0.10901,59.5847
1.80589,0.110339,59.5548
1.80864,0.111601,59.5192
1.81137,0.112858,59.4797
1.81409,0.114121,59.4342
1.81682,0.115393,59.3828
1.8196,0.116736,59.3241
1.82235,0.118217,59.2591
1.82555,0.119951,59.178
1.8282,0.121386,59.1067
1.83085,0.122922,59.0283
1.83387,0.12473,58.9321
1.83745,0.126856,58.8122
1.84074,0.128787,58.6974
1.84411,0.130754,58.5674
1.84773,0.132842,58.4154
1.85127,0.134863,58.2557
1.8541,0.136457,58.1118
1.85719,0.138213,57.9474
1.86042,0.14011,57.7654
1.86361,0.142021,57.574
1.8668,0.143886,57.3748
1.87003,0.145752,57.1681
1.87335,0.147863,56.9495
1.87676,0.150031,56.7212
1.88026,0.152159,56.4844
1.8836,0.154102,56.2558
1.88647,0.155699,56.0556
1.88973,0.157425,55.8356
1.89354,0.159318,55.5894
1.89827,0.161486,55.3017
1.90344,0.163623,55.0094
1.90908,0.16568,54.7222
1.91594,0.167795,54.4239
1.92366,0.169667,54.1559
1.93161,0.171022,53.9533
1.93918,0.171766,53.8232
1.94588,0.171993,53.7521
1.95334,0.171832,53.7345
1.96471,0.170763,53.8485
1.97371,0.169516,54.0414
1.98091,0.168615,54.2641
1.98652,0.167579,54.475
1.99175,0.166425,54.6949
1.99699,0.164951,54.9425
2.0019,0.163303,55.1958
2.00657,0.161513,55.4547
2.01112,0.159579,55.7218
2.01562,0.157496,55.998
2.02013,0.155259,56.2827
2.0245,0.152951,56.5632
2.02859,0.150681,56.8241
2.03244,0.148447,57.0649
2.03594,0.146326,57.277
2.03996,0.144303,57.527
2.04234,0.142867,57.6571
2.04487,0.141105,57.7872
2.04776,0.138948,57.9298
2.05085,0.13652,58.0768
2.05424,0.133727,58.2325
2.05801,0.130483,58.3986
2.06183,0.127023,58.5611
2.06541,0.123626,58.7067
2.06877,0.120291,58.8344
2.07184,0.117091,58.9418
2.07465,0.114012,59.0318
2.07724,0.111046,59.1081
2.07963,0.108202,59.173
2.08183,0.105506,59.2256
2.08406,0.103083,59.2722
2.08629,0.101954,59.3103
2.08844,0.100861,59.3405
2.09049,0.099807,59.365
2.09245,0.098796,59.3872
2.0943,0.097829,59.4053
2.09606,0.096909,59.4201
2.09774,0.096039,59.4319
2.09933,0.095382,59.4407
2.10085,0.09476,59.4445
2.1023,0.094167,59.4465
2.1037,0.093602,59.4468
2.10504,0.09306,59.4455
2.10635,0.092538,59.4427
2.10763,0.092034,59.4384
2.10888,0.091544,59.4325
2.11011,0.091066,59.4246
2.11133,0.0906,59.4152
2.11254,0.090142,59.4041
2.11338,0.089811,59.3943
2.11409,0.089525,59.3848
2.115,0.089175,59.3725
2.11682,0.088545,59.3499
2.11941,0.087691,59.3118
2.12236,0.086753,59.2664
2.12529,0.085853,59.2175
2.12792,0.08506,59.1654
2.13042,0.084326,59.1036
2.13302,0.083588,59.0384
2.13568,0.082855,58.9626
2.13891,0.08201,58.8588
2.14216,0.081193,58.7421
2.14525,0.08044,58.6194
2.1482,0.079744,58.4919
2.15102,0.079098,58.3593
2.15373,0.078495,58.22
2.15637,0.077926,58.0729
2.15899,0.07738,57.9162
2.16164,0.076849,57.7482
2.16437,0.076321,57.5684
2.16723,0.075788,57.3838
2.17029,0.075243,57.1842
2.1736,0.07468,56.9731
2.17721,0.074097,56.7496
2.18042,0.073597,56.556
2.18413,0.073053,56.3417
2.18708,0.072625,56.1773
2.19015,0.072201,56.014
2.19427,0.071681,55.8087
2.1993,0.071105,55.5786
2.20495,0.070527,55.3466
2.21134,0.070411,55.1192
2.21815,0.070917,54.9151
2.22517,0.071248,54.747
2.2325,0.071393,54.6027
2.2409,0.071337,54.4942
2.25305,0.070958,54.4334
2.26656,0.070841,54.5036
2.2743,0.071854,54.6213
2.28076,0.072571,54.7674
2.28672,0.073134,54.941
2.29236,0.073566,55.1373
2.29775,0.073908,55.3508
2.30295,0.074498,55.5763
2.30798,0.075388,55.8134
2.3128,0.0764,56.0518
2.31738,0.077666,56.2859
2.32177,0.078836,56.5178
2.32604,0.079921,56.7491
2.33023,0.080937,56.981
2.3343,0.081881,57.2083
2.33828,0.082774,57.4293
2.34211,0.083622,57.6401
2.34566,0.084405,57.8302
2.34883,0.085112,57.9925
2.35211,0.086174,58.1484
2.35539,0.087377,58.2902
2.35855,0.088485,58.4139
2.36207,0.089759,58.5359
2.36544,0.090882,58.6412
2.36882,0.091935,58.7415
2.37208,0.09333,58.8342
2.3752,0.094674,58.9212
2.37816,0.095953,59.0035
2.38101,0.097181,59.0814
2.38368,0.098329,59.1534
2.38575,0.099216,59.2076
2.38777,0.100078,59.258
2.38961,0.100859,59.3005
2.39128,0.101569,59.3354
2.39284,0.102227,59.3628
2.39431,0.10285,59.3832
2.39572,0.103446,59.3985
2.39707,0.103958,59.4117
2.39836,0.104425,59.4195
2.39961,0.104879,59.4233
2.40081,0.105332,59.423
2.40197,0.105785,59.4194
2.40309,0.106235,59.4128
2.40418,0.10695,59.4038
2.40524,0.107813,59.3927
2.40626,0.108643,59.3797
2.40725,0.109443,59.3652
2.40822,0.110212,59.3496
2.40915,0.110953,59.333
2.41006,0.111667,59.3147
2.41094,0.112353,59.2955
2.41179,0.113018,59.2768
2.41262,0.113657,59.2583
2.41343,0.114284,59.2396
2.41412,0.114802,59.2214
2.41503,0.115494,59.1987
2.41668,0.116716,59.161
2.41833,0.117923,59.1213
2.42001,0.119124,59.0795
2.42169,0.120297,59.0366
2.42337,0.121446,58.9918
2.42505,0.122563,58.9449
2.42672,0.123651,58.8948
2.42838,0.124708,58.8409
2.43004,0.125735,58.7846
2.43104,0.126314,58.7446
2.43235,0.127079,58.6932
2.43407,0.128092,58.6198
2.43585,0.129111,58.5565
2.43777,0.130196,58.4756
2.43985,0.131344,58.3789
2.44202,0.132524,58.2676
2.44418,0.133668,58.1456
2.4464,0.134826,58.0099
2.4488,0.136564,57.8542
2.45132,0.13853,57.6774
2.45363,0.140309,57.4992
2.45543,0.141688,57.3446
2.45693,0.142821,57.2084
2.45901,0.144374,57.0169
2.46093,0.146171,56.8356
2.46314,0.14919,56.6283
2.46518,0.151903,56.4301
2.46678,0.15395,56.2665
2.46874,0.156527,56.0665
2.47064,0.158936,55.8711
2.47256,0.161292,55.6749
2.4747,0.163826,55.4572
2.47607,0.165397,55.3134
2.47777,0.167293,55.1301
2.47963,0.169296,54.9326
2.48044,0.170151,54.8446
2.48131,0.171056,54.7434
2.48285,0.17263,54.574
2.485,0.174765,54.3481
2.48706,0.176734,54.129
2.48933,0.178826,53.8935
2.49208,0.181267,53.6137
2.49482,0.183583,53.3402
2.49746,0.185719,53.0894
2.49976,0.187506,52.905
2.50241,0.189478,52.6902
