"Time","max height (stats)","max volume (stats)"
0.001,0.1,79.966667
0.002,0.1,79.966667
0.003,0.1,79.966667
0.004,0.1,79.966667
0.005,0.1,79.966667
0.008788,0.1,79.966667
0.028788,0.1,79.966667
0.048788,0.1,79.966667
0.068788,0.1,79.966667
0.088788,0.1,79.966667
0.108788,0.1,79.966667
0.128788,0.1,79.966667
0.148788,0.1,79.966667
0.168788,0.1,79.966667
0.188788,0.1,79.966667
0.208788,0.1,79.966667
0.228788,0.1,79.966667
0.248788,0.1,79.966667
0.268788,0.1,79.966667
0.288788,0.1,79.966667
0.308788,0.099973001,79.966759
0.328788,0.099638,79.966957
0.348788,0.098994002,79.963638
0.368788,0.098155998,79.954575
0.388788,0.097208001,79.943352
0.408788,0.096293002,79.937309
0.428788,0.095505998,79.941048
0.448788,0.094912998,79.95269
0.468788,0.094695002,79.96537
0.488788,0.094916999,79.972137
0.508788,0.095665999,79.968231
0.528788,0.096983999,79.951233
0.548788,0.098601997,79.92038
0.568788,0.100394,79.876427
0.588788,0.102282,79.821976
0.608788,0.104214,79.76152
0.628788,0.106152,79.700684
0.648788,0.108107,79.645454
0.668788,0.1099,79.600952
0.688788,0.111465,79.571198
0.708788,0.112746,79.560303
0.728788,0.113571,79.570908
0.748788,0.113822,79.604706
0.768788,0.113416,79.660187
0.788788,0.112427,79.732025
0.808788,0.11084,79.811722
0.826414,0.108931,79.879463
0.841123,0.107053,79.92746
0.854253,0.10519,79.959145
0.866645,0.103307,79.976181
0.878765,0.101356,79.978401
0.890699,0.099407002,79.965073
0.902643,0.097438,79.935417
0.914798,0.095449999,79.888275
0.927265,0.093457997,79.822716
0.94026,0.091466002,79.738075
0.953432,0.089566,79.636772
0.966425,0.087838002,79.525871
0.979526,0.086300001,79.410492
0.99322,0.084870003,79.296288
1.00817,0.083596997,79.192741
1.02596,0.082471997,79.120255
1.04596,0.081758998,79.123535
1.06596,0.081749,79.22448
1.08596,0.082498997,79.40937
1.10258,0.083742,79.602547
1.11612,0.085224003,79.766075
1.12812,0.086871997,79.901718
1.13921,0.088679001,80.009148
1.14933,0.090570003,80.085075
1.15878,0.092603996,80.130623
1.16773,0.094717003,80.147774
1.17632,0.09691,80.138077
1.18464,0.099182002,80.10154
1.19277,0.10157,80.038521
1.20077,0.1041,79.948662
1.20869,0.106713,79.831154
1.2166,0.109407,79.685356
1.22446,0.112148,79.511734
1.23206,0.114835,79.318695
1.23929,0.11746,79.115486
1.2462,0.119963,78.905067
1.25288,0.122347,78.689201
1.25942,0.124636,78.470657
1.2659,0.12684301,78.251175
1.27239,0.12894399,78.033638
1.27898,0.130944,77.81955
1.28578,0.132939,77.613159
1.29296,0.134858,77.418663
1.30074,0.136686,77.238815
1.3095,0.138384,77.08506
1.32026,0.13988701,76.972839
1.33595,0.14082301,76.975143
1.35595,0.139797,77.244431
1.37141,0.13762499,77.609825
1.3811,0.13588899,77.882545
1.38926,0.134087,78.128616
1.39671,0.132107,78.360092
1.40373,0.129016,78.57917
1.41053,0.12662899,78.78801
1.41724,0.124131,78.987549
1.42397,0.12151,79.177734
1.43075,0.118784,79.356377
1.43739,0.116064,79.516457
1.44394,0.1135,79.657433
1.45046,0.110996,79.780312
1.45691,0.108516,79.88311
1.46331,0.106097,79.967064
1.46969,0.103736,80.03212
1.4761,0.101406,80.079407
1.48256,0.099146999,80.110001
1.4891,0.096909001,80.121384
1.49558,0.094796002,80.113556
1.50198,0.092941001,80.085693
1.50837,0.091168001,80.037987
1.51479,0.08946,79.967926
1.52089,0.087897003,79.879791
1.5267,0.086465001,79.775772
1.53229,0.085138999,79.658974
1.53771,0.083899997,79.528542
1.543,0.082735002,79.385544
1.54823,0.081630997,79.23114
1.55345,0.080580004,79.065437
1.5587,0.079573996,78.889046
1.56406,0.078606002,78.698669
1.56894,0.077845,78.519974
1.57449,0.077069998,78.314682
1.58082,0.076263003,78.082703
1.58751,0.075496003,77.84436
1.59458,0.074814998,77.603661
1.60227,0.074216001,77.363098
1.61101,0.073646002,77.119949
1.62096,0.073140003,76.893021
1.63288,0.072784998,76.706711
1.65071,0.072924003,76.629288
1.67071,0.073818997,76.882507
1.68164,0.074846998,77.165657
1.68972,0.075833999,77.423195
1.69656,0.076739997,77.665047
1.70276,0.077614002,77.898224
1.70852,0.078470998,78.122421
1.71404,0.079333,78.339882
1.71944,0.080251001,78.551956
1.72483,0.081280999,78.759384
1.73023,0.082374997,78.96022
1.73561,0.083531,79.149376
1.74078,0.084758997,79.319206
1.74595,0.086099997,79.475845
1.75121,0.087546997,79.619354
1.75662,0.089112997,79.749138
1.76224,0.090823002,79.864433
1.76806,0.092730001,79.960556
1.77395,0.094908997,80.029938
1.77987,0.097202003,80.071762
1.78536,0.099422999,80.083344
1.79114,0.101851,80.066742
1.79675,0.104289,80.021339
1.80221,0.106742,79.949348
1.80755,0.109212,79.850082
1.81271,0.111666,79.724426
1.81752,0.114008,79.583649
1.82207,0.116402,79.427834
1.82641,0.118758,79.258934
1.83057,0.121233,79.077583
1.83462,0.123657,78.883827
1.8386,0.126048,78.6772
1.84255,0.12842301,78.456673
1.8465,0.130789,78.221466
1.85039,0.133092,77.97818
1.85419,0.13532899,77.727921
1.85791,0.137485,77.474068
1.86157,0.139559,77.218819
1.86518,0.141554,76.96463
1.86876,0.14347,76.710365
1.8723,0.145307,76.456558
1.87583,0.147064,76.20433
1.87935,0.148862,75.954384
1.88255,0.150433,75.726807
1.886,0.15204599,75.485657
1.88939,0.153551,75.25708
1.89247,0.15484899,75.051399
