# t, x, y, z, qx, qy, qz
0.0, 0.33333333140128896, 3.588912891716738e-05, 0., 0., 0., -0.00036805310578168573
0.01, 0.3333333306787778, 4.206784616224324e-05, 0., 0., 0., -0.0004093133445274555
0.02, 0.3333333297222126, 4.906540352414356e-05, 0., 0., 0., -0.00045330045511047384
0.03, 0.3333333284669343, 5.695845821237806e-05, 0., 0., 0., -0.0004998272836480931
0.04, 0.3333333268338409, 6.582548816503044e-05, 0., 0., 0., -0.000548594789830162
0.05, 0.3333333247272503, 7.574555156870702e-05, 0., 0., 0., -0.0005991655463506965
0.06, 0.3333333220328389, 8.679667515297247e-05, 0., 0., 0., -0.0006509325996929327
0.07, 0.33333331861584986, 9.905380066588512e-05, 0., 0., 0., -0.0007030831057884809
0.08, 0.333333314319851, 0.00011258620913531923, 0., 0., 0., -0.0007545561337523913
0.09, 0.33333330896642227, 0.00012745433206936028, 0., 0., 0., -0.0008039940286063131
0.1, 0.33333330235627584, 0.0001437058478325862, 0., 0., 0., -0.0008496867469821745
0.11, 0.3333332942724556, 0.0001613709503404869, 0., 0., 0., -0.0008895086371656559
0.12, 0.3333332844864171, 0.00018045666636360403, 0., 0., 0., -0.0009208472370414103
0.13, 0.33333327276794955, 0.0002009400877226566, 0., 0., 0., -0.0009405238226571727
0.14, 0.3333332589000471, 0.00022276037630511295, 0., 0., 0., -0.000944705669684543
0.15, 0.33333324269993353, 0.0002458093942411273, 0., 0., 0., -0.0009288103043567664
0.16, 0.33333322404744975, 0.0002699208101874461, 0., 0., 0., -0.0008874024340184089
0.17, 0.3333332029218568, 0.0002948575373473434, 0., 0., 0., -0.0008140847739175435
0.18, 0.33333317944768803, 0.00032029737196925335, 0., 0., 0., -0.0007013846379221168
0.19, 0.3333331539494735, 0.000345816725564678, 0., 0., 0., -0.0005406389445435135
0.2, 0.33333312701378215, 0.00037087238356932925, 0., 0., 0., -0.0003218812090757697
0.21, 0.33333309955486046, 0.0003947812819460017, 0., 0., 0., -3.373514448241785e-05
0.22, 0.3333330728769263, 0.00041669837630767736, 0., 0., 0., 0.0003366793329143737
0.23, 0.3333330487215922, 0.0004355927911760494, 0., 0., 0., 0.0008038206208044556
0.24, 0.3333330292826291, 0.0004502225860812119, 0., 0., 0., 0.0013837720478751178
0.25, 0.33333301716203184, 0.0004591086665266848, 0., 0., 0., 0.0020942507768515486
0.26, 0.33333301523091585, 0.0004605086070223807, 0., 0., 0., 0.0029545677979535075
0.27, 0.3333330263461633, 0.0004523914445638417, 0., 0., 0., 0.003985526503983628
0.28, 0.3333330528593176, 0.00043241484537621955, 0., 0., 0., 0.005209246176140041
0.29, 0.3333330958389439, 0.0003979064419671549, 0., 0., 0., 0.006648895813406716
0.3, 0.3333331539133214, 0.0003458515709075473, 0., 0., 0., 0.00832832327147343
0.31, 0.33333322162980983, 0.0002728900935860579, 0., 0., 0., 0.010271564869560322
0.32, 0.3333332872248266, 0.00017532541850317216, 0., 0., 0., 0.012502221787185809
0.33, 0.3333333297098654, 4.9149214176806864e-05, 0., 0., 0., 0.015042692107197896
0.34, 0.33333331521154924, -0.00010991446248503594, 0., 0., 0., 0.017913251739423514
0.35000000000000003, 0.3333331925652785, -0.0003063418842766657, 0., 0., 0., 0.021130984185027776
