# t, x, y, z, qx, qy, qz
0.0, 0.0, 0.0, 0., 0., 0., 0.057762654675939086
0.03, 0.0, 0.0, 0., 0., 0., 0.06293435703741604
0.06, 0.0, 0.0, 0., 0., 0., 0.06586384800035767
0.09, 0.0, 0.0, 0., 0., 0., 0.06645978443687982
0.12, 0.0, 0.0, 0., 0., 0., 0.0647134718603445
0.15, 0.0, 0.0, 0., 0., 0., 0.06069536311622631
0.18, 0.0, 0.0, 0., 0., 0., 0.0545499881189972
0.21, 0.0, 0.0, 0., 0., 0., 0.04649021466237834
0.24, 0.0, 0.0, 0., 0., 0., 0.036791187154009364
0.27, 0.0, 0.0, 0., 0., 0., 0.025783718285425195
0.3, 0.0, 0.0, 0., 0., 0., 0.013846464728058595
0.32999999999999996, 0.0, 0.0, 0., 0., 0., 0.0013960201146174618
0.36, 0.0, 0.0, 0., 0., 0., -0.011125808116293686
0.39, 0.0, 0.0, 0., 0., 0., -0.023267782711062616
0.42, 0.0, 0.0, 0., 0., 0., -0.034587563236838585
0.44999999999999996, 0.0, 0.0, 0., 0., 0., -0.04467123102093682
0.48, 0.0, 0.0, 0., 0., 0., -0.05315207542812177
0.51, 0.0, 0.0, 0., 0., 0., -0.05972660518894007
0.54, 0.0, 0.0, 0., 0., 0., -0.06416622246055169
0.57, 0.0, 0.0, 0., 0., 0., -0.06632388296388705
0.6, 0.0, 0.0, 0., 0., 0., -0.06613603524807105
0.63, 0.0, 0.0, 0., 0., 0., -0.0636208574986519
0.6599999999999999, 0.0, 0.0, 0., 0., 0., -0.05887410496760598
0.69, 0.0, 0.0, 0., 0., 0., -0.05206374185481845
0.72, 0.0, 0.0, 0., 0., 0., -0.04342408561161988
0.75, 0.0, 0.0, 0., 0., 0., -0.03324961412357202
0.78, 0.0, 0.0, 0., 0., 0., -0.021888042200616808
0.8099999999999999, 0.0, 0.0, 0., 0., 0., -0.009731900147826204
0.84, 0.0, 0.0, 0., 0., 0., 0.002792247534282247
0.87, 0.0, 0.0, 0., 0., 0., 0.015237551906627409
0.8999999999999999, 0.0, 0.0, 0., 0., 0., 0.027153610907916417
0.9299999999999999, 0.0, 0.0, 0., 0., 0., 0.038105381662638514
0.96, 0.0, 0.0, 0., 0., 0., 0.04769269159777971
0.99, 0.0, 0.0, 0., 0., 0., 0.055568313493121094
1.02, 0.0, 0.0, 0., 0., 0., 0.06145266681501891
1.05, 0.0, 0.0, 0., 0., 0., 0.06514384594808462
1.08, 0.0, 0.0, 0., 0., 0., 0.06652263070983316
1.1099999999999999, 0.0, 0.0, 0., 0., 0., 0.06555305412312427
1.14, 0.0, 0.0, 0., 0., 0., 0.062279695653728484
1.17, 0.0, 0.0, 0., 0., 0., 0.056823010373560905
1.2, 0.0, 0.0, 0., 0., 0., 0.049373744937749056
1.23, 0.0, 0.0, 0., 0., 0., 0.04018698178985271
1.26, 0.0, 0.0, 0., 0., 0., 0.029575769632445337
1.29, 0.0, 0.0, 0., 0., 0., 0.01790379715743957
1.3199999999999998, 0.0, 0.0, 0., 0., 0., 0.005576275776496828
1.3499999999999999, 0.0, 0.0, 0., 0., 0., -0.006971786529079162
1.38, 0.0, 0.0, 0., 0., 0., -0.01929036495963218
1.41, 0.0, 0.0, 0., 0., 0., -0.030932007361123618
1.44, 0.0, 0.0, 0., 0., 0., -0.04147115384542616
1.47, 0.0, 0.0, 0., 0., 0., -0.050523402693480116
1.5, 0.0, 0.0, 0., 0., 0., -0.05776265467593907
1.53, 0.0, 0.0, 0., 0., 0., -0.06293435703741605
1.56, 0.0, 0.0, 0., 0., 0., -0.06586384800035766
1.5899999999999999, 0.0, 0.0, 0., 0., 0., -0.06645978443687983
1.6199999999999999, 0.0, 0.0, 0., 0., 0., -0.06471347186034451
1.65, 0.0, 0.0, 0., 0., 0., -0.06069536311622633
1.68, 0.0, 0.0, 0., 0., 0., -0.05454998811899725
1.71, 0.0, 0.0, 0., 0., 0., -0.04649021466237836
1.74, 0.0, 0.0, 0., 0., 0., -0.03679118715400935
1.77, 0.0, 0.0, 0., 0., 0., -0.02578371828542526
1.7999999999999998, 0.0, 0.0, 0., 0., 0., -0.013846464728058734
1.8299999999999998, 0.0, 0.0, 0., 0., 0., -0.0013960201146175476
1.8599999999999999, 0.0, 0.0, 0., 0., 0., 0.011125808116293618
1.89, 0.0, 0.0, 0., 0., 0., 0.023267782711062515
1.92, 0.0, 0.0, 0., 0., 0., 0.03458756323683854
1.95, 0.0, 0.0, 0., 0., 0., 0.04467123102093683
1.98, 0.0, 0.0, 0., 0., 0., 0.05315207542812179
2.01, 0.0, 0.0, 0., 0., 0., 0.059726605188940005
2.04, 0.0, 0.0, 0., 0., 0., 0.06416622246055168
2.07, 0.0, 0.0, 0., 0., 0., 0.06632388296388705
2.1, 0.0, 0.0, 0., 0., 0., 0.06613603524807105
2.13, 0.0, 0.0, 0., 0., 0., 0.06362085749865193
2.16, 0.0, 0.0, 0., 0., 0., 0.05887410496760596
2.19, 0.0, 0.0, 0., 0., 0., 0.05206374185481842
2.2199999999999998, 0.0, 0.0, 0., 0., 0., 0.04342408561161995
2.25, 0.0, 0.0, 0., 0., 0., 0.03324961412357204
2.28, 0.0, 0.0, 0., 0., 0., 0.021888042200616895
2.31, 0.0, 0.0, 0., 0., 0., 0.009731900147826234
2.34, 0.0, 0.0, 0., 0., 0., -0.0027922475342821666
2.37, 0.0, 0.0, 0., 0., 0., -0.015237551906627437
2.4, 0.0, 0.0, 0., 0., 0., -0.027153610907916428
2.4299999999999997, 0.0, 0.0, 0., 0., 0., -0.038105381662638445
2.46, 0.0, 0.0, 0., 0., 0., -0.047692691597779696
2.4899999999999998, 0.0, 0.0, 0., 0., 0., -0.05556831349312099
2.52, 0.0, 0.0, 0., 0., 0., -0.06145266681501888
2.55, 0.0, 0.0, 0., 0., 0., -0.06514384594808459
2.58, 0.0, 0.0, 0., 0., 0., -0.06652263070983316
2.61, 0.0, 0.0, 0., 0., 0., -0.06555305412312427
2.6399999999999997, 0.0, 0.0, 0., 0., 0., -0.06227969565372852
2.67, 0.0, 0.0, 0., 0., 0., -0.056823010373560856
2.6999999999999997, 0.0, 0.0, 0., 0., 0., -0.049373744937749084
2.73, 0.0, 0.0, 0., 0., 0., -0.040186981789852756
2.76, 0.0, 0.0, 0., 0., 0., -0.029575769632445466
2.79, 0.0, 0.0, 0., 0., 0., -0.017903797157439588
2.82, 0.0, 0.0, 0., 0., 0., -0.00557627577649686
2.85, 0.0, 0.0, 0., 0., 0., 0.006971786529079262
