# t, x, y, z, qx, qy, qz
0.0, 0.33277740055352295, 0.01924351298363254, 0., 0., 0., -0.19745742004184985
0.03, 0.33267342896928764, 0.020964273632240363, 0., 0., 0., -0.1840891856996459
0.06, 0.3326105869200727, 0.02193874608531266, 0., 0., 0., -0.16464887717802357
0.09, 0.33259745376098326, 0.022136956945833387, 0., 0., 0., -0.13974487347785136
0.12, 0.33263560464192043, 0.02155610437011099, 0., 0., 0., -0.1100748452097208
0.15, 0.3327195339500939, 0.020219367921460694, 0., 0., 0., -0.07644740857532778
0.18, 0.3328375061038055, 0.018174312688800858, 0., 0., 0., -0.03981770392777981
0.21, 0.33297317486586203, 0.01549115653717176, 0., 0., 0., -0.0013242385203570588
0.24, 0.3331077602041769, 0.012260962558775458, 0., 0., 0., 0.03769291197018951
0.27, 0.3332225394500826, 0.008593620514615402, 0., 0., 0., 0.07571736253792373
0.3, 0.33330137974628465, 0.0046153407603383295, 0., 0., 0., 0.1111438387951548
0.32999999999999996, 0.33333300852135933, 0.0004653398870577944, 0., 0., 0., 0.14242276324777514
0.36, 0.3333127029451032, -0.0037085261952019334, 0., 0., 0., 0.16822391567790218
0.39, 0.3332431057854175, -0.007755227759398688, 0., 0., 0., 0.1875634558402725
0.42, 0.3331339699542715, -0.011526889156125746, 0., 0., 0., 0.19985500480819288
0.44999999999999996, 0.33300080215638367, -0.014885458485250972, 0., 0., 0., 0.20488405589823744
0.48, 0.3328625869890871, -0.017709017308803303, 0., 0., 0., 0.20273547032556294
0.51, 0.33273896549270354, -0.019897033797944087, 0., 0., 0., 0.1937100714876618
0.54, 0.3326473513973389, -0.021374066516375467, 0., 0., 0., 0.17825544520535241
0.57, 0.3326004591346244, -0.022091756257666705, 0., 0., 0., 0.15692213262702073
0.6, 0.33260460315235435, -0.022029277631733058, 0., 0., 0., 0.13034707530469827
0.63, 0.33265895859525674, -0.021192649136678593, 0., 0., 0., 0.0992616408692944
0.6599999999999999, 0.3327558068062488, -0.019613366560423562, 0., 0., 0., 0.06451894576410974
0.69, 0.33288166317052054, -0.01734674136370338, 0., 0., 0., 0.02713159824776398
0.72, 0.33301910751281305, -0.014470146594991797, 0., 0., 0., -0.011695100660748333
0.75, 0.3331490941679759, -0.011081162672220759, 0., 0., 0., -0.050556664299932434
0.78, 0.33325348878921657, -0.007295431510652061, 0., 0., 0., -0.08789412094755669
0.8099999999999999, 0.3333175484778345, -0.0032439155102345577, 0., 0., 0., -0.12210267656695027
0.84, 0.3333320338931288, 0.0009307479686408655, 0., 0., 0., -0.15168835523888605
0.87, 0.33329463691737826, 0.005078987421139062, 0., 0., 0., -0.1754255603012599
0.8999999999999999, 0.33321045445279546, 0.009050091406866209, 0., 0., 0., -0.1924614193757788
0.9299999999999999, 0.33309135926278466, 0.012698720234008526, 0., 0., 0., -0.20233944903852913
0.96, 0.3329543063805306, 0.01589153780384042, 0., 0., 0., -0.20495420469971276
0.99, 0.3328188261692393, 0.018513240084889398, 0., 0., 0., -0.20047147236038276
1.02, 0.3327041263406423, 0.020471331833103797, 0., 0., 0., -0.18924754670025823
1.05, 0.33262629664776183, 0.02169926011425852, 0., 0., 0., -0.17176783280600785
1.08, 0.3325960618789232, 0.02215785941246562, 0., 0., 0., -0.14861221596787408
1.1099999999999999, 0.33261738928402096, 0.02183537169349626, 0., 0., 0., -0.1204471342465598
1.14, 0.33268708217985077, 0.020746480708021882, 0., 0., 0., -0.08804075809598881
1.17, 0.33279533569839514, 0.01893081214590607, 0., 0., 0., -0.052295018962677325
1.2, 0.3329271214160197, 0.016451229034755398, 0., 0., 0., -0.014283868829560054
1.23, 0.3330642039722095, 0.013392055236950876, 0., 0., 0., 0.024719658750942525
1.26, 0.3331875562684904, 0.0098571526792807, 0., 0., 0., 0.06325150599883406
1.29, 0.33327991043495486, 0.0059676135581611806, 0., 0., 0., 0.09972231420718528
1.3199999999999998, 0.3333281508715064, 0.0018587489592101754, 0., 0., 0., 0.13254559033705196
1.3499999999999999, 0.33332523239824496, -0.0023239100169991783, 0., 0., 0., 0.16030095536034294
1.38, 0.3332713155598182, -0.006429722866435832, 0., 0., 0., 0.1818792707637745
1.41, 0.3331738812008817, -0.010309025009760603, 0., 0., 0., 0.1965611431600334
1.44, 0.33304673164613763, -0.013819755820444039, 0., 0., 0., 0.2040146321772766
1.47, 0.33290798812011435, -0.016833970325769707, 0., 0., 0., 0.20423419865231343
